split,task,variant,space,label,domain,partition,period,day,day_num,target_file,x,y,architecture
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 15,15,air\air_39.csv,-3.9560691074296255,-1.3553253443953504,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 15,15,air\air_40.csv,-3.947505347676443,-1.3788839433925508,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 16,16,air\air_41.csv,-4.336920746524391,-0.17956592232082394,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 16,16,air\air_42.csv,-3.9798460962412094,0.6522062788065529,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 16,16,air\air_43.csv,-4.205429448587398,0.7144535472559886,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 16,16,air\air_44.csv,-3.609907432408654,1.839993621780032,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 17,17,air\air_45.csv,-4.615706212065059,-1.3143062137291417,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 17,17,air\air_46.csv,-4.86305549319279,-0.2018481457026538,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 17,17,air\air_47.csv,-3.2897758600002196,1.1449758141743376,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,air,target,target_domain,Period_II,Day 17,17,air\air_48.csv,-4.019367920672135,-1.3097250555407989,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 10,10,alcohol\alcohol_44.csv,1.9788095978261138,-2.335237702153449,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 10,10,alcohol\alcohol_45.csv,0.02520986531398909,0.027991614492247626,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 10,10,alcohol\alcohol_46.csv,-1.7146811897176633,0.27134599897030937,One-layer G_f: 54 -> 16
S6_train_I_D1_2_val_D3_5,three_class_with_air,MLP source + target labels,Before DA: standardized 54D PCA,alcohol,target,target_domain,Period_II,Day 10,10,alcohol\alcohol_47.csv,3.5689376977652705,-0.1507339149536015,One-layer G_f: 54 -> 16
