mode,split_id,group,classifier,case,removed_sensor,n_features,accuracy,balanced_accuracy,macro_f1,delta_balanced_accuracy_vs_all,delta_macro_f1_vs_all
stratified_random_holdout,7,,gnb,without_s6,s6,45,0.85,0.8579545454545455,0.8613561553653719,0.0,0.0
stratified_random_holdout,7,,centroid,all,,54,0.8666666666666667,0.8787878787878789,0.8709177069627634,0.0,0.0
stratified_random_holdout,7,,centroid,without_s1,s1,45,0.85,0.8636363636363636,0.853628497106758,0.015151515151515249,0.01728920985600535
stratified_random_holdout,7,,centroid,without_s2,s2,45,0.8333333333333334,0.8484848484848485,0.8396392927056257,0.030303030303030387,0.03127841425713773
stratified_random_holdout,7,,centroid,without_s3,s3,45,0.8333333333333334,0.8484848484848485,0.8396392927056257,0.030303030303030387,0.03127841425713773
stratified_random_holdout,7,,centroid,without_s4,s4,45,0.8666666666666667,0.8787878787878789,0.8709177069627634,0.0,0.0
stratified_random_holdout,7,,centroid,without_s5,s5,45,0.8666666666666667,0.8787878787878789,0.8681212507299464,0.0,0.0027964562328169906
stratified_random_holdout,7,,centroid,without_s6,s6,45,0.85,0.8636363636363636,0.8557544757033247,0.015151515151515249,0.015163231259438636
stratified_random_holdout,8,,lda,all,,54,0.95,0.9431818181818182,0.9481481481481481,0.0,0.0
stratified_random_holdout,8,,lda,without_s1,s1,45,0.95,0.9431818181818182,0.9481481481481481,0.0,0.0
stratified_random_holdout,8,,lda,without_s2,s2,45,0.9166666666666666,0.912878787878788,0.9144894919382018,0.030303030303030276,0.033658656209946236
stratified_random_holdout,8,,lda,without_s3,s3,45,0.9166666666666666,0.9185606060606061,0.9127264998140178,0.024621212121212155,0.03542164833413031
stratified_random_holdout,8,,lda,without_s4,s4,45,0.95,0.9431818181818182,0.9454972438761864,0.0,0.002650904271961685
stratified_random_holdout,8,,lda,without_s5,s5,45,0.9333333333333333,0.9280303030303031,0.9303681981101336,0.015151515151515138,0.01777995003801447
stratified_random_holdout,8,,lda,without_s6,s6,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,-0.04166666666666663,-0.033998903766345734
stratified_random_holdout,8,,gnb,all,,54,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,8,,gnb,without_s1,s1,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,8,,gnb,without_s2,s2,45,0.75,0.7727272727272728,0.7697540554683412,0.12121212121212122,0.12413052678833414
stratified_random_holdout,8,,gnb,without_s3,s3,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,8,,gnb,without_s4,s4,45,0.9,0.9090909090909092,0.9090909090909092,-0.015151515151515138,-0.015206326834233841
stratified_random_holdout,8,,gnb,without_s5,s5,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,8,,gnb,without_s6,s6,45,0.8833333333333333,0.893939393939394,0.8938845822566753,0.0,0.0
stratified_random_holdout,8,,centroid,all,,54,0.85,0.8636363636363636,0.853628497106758,0.0,0.0
stratified_random_holdout,8,,centroid,without_s1,s1,45,0.8666666666666667,0.8787878787878789,0.8695767195767196,-0.015151515151515249,-0.015948222469961526
stratified_random_holdout,8,,centroid,without_s2,s2,45,0.8333333333333334,0.8484848484848485,0.8396392927056257,0.015151515151515138,0.013989204401132382
stratified_random_holdout,8,,centroid,without_s3,s3,45,0.7833333333333333,0.8030303030303031,0.7941764812853674,0.06060606060606055,0.05945201582139059
stratified_random_holdout,8,,centroid,without_s4,s4,45,0.8833333333333333,0.8939393939393939,0.8869138959931799,-0.030303030303030276,-0.0332853988864219
stratified_random_holdout,8,,centroid,without_s5,s5,45,0.8666666666666667,0.8787878787878789,0.8681212507299464,-0.015151515151515249,-0.01449275362318836
stratified_random_holdout,8,,centroid,without_s6,s6,45,0.85,0.8636363636363636,0.853628497106758,0.0,0.0
stratified_random_holdout,9,,lda,all,,54,0.9666666666666667,0.9696969696969697,0.9666185666185666,0.0,0.0
stratified_random_holdout,9,,lda,without_s1,s1,45,0.9833333333333333,0.9848484848484849,0.9821470519144938,-0.015151515151515138,-0.015528485295927208
stratified_random_holdout,9,,lda,without_s2,s2,45,0.9,0.9090909090909092,0.9057703225253596,0.06060606060606055,0.06084824409320699
