split,task,model,partition,random_state,label,support,predicted_n,precision,recall,f1
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,validation,,alcohol,4,6,0.6666666666666666,1.0,0.8
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,validation,,acetone,4,2,1.0,0.5,0.6666666666666666
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,test,,air,81,74,0.918918918918919,0.8395061728395061,0.8774193548387097
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,test,,alcohol,96,119,0.7394957983193278,0.9166666666666666,0.8186046511627907
S3_train_I_internal_20_10_test_all,three_class_with_air,Logistic Regression,test,,acetone,96,80,0.9375,0.78125,0.8522727272727273
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,train,,air,6,4,0.75,0.5,0.6
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,train,,alcohol,12,17,0.6470588235294118,0.9166666666666666,0.7586206896551724
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,train,,acetone,12,9,0.8888888888888888,0.6666666666666666,0.7619047619047619
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,validation,,air,2,2,0.5,0.5,0.5
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,validation,,alcohol,4,6,0.6666666666666666,1.0,0.8
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,validation,,acetone,4,2,1.0,0.5,0.6666666666666666
S3_train_I_internal_20_10_test_all,three_class_with_air,kNN,test,,air,81,64,0.953125,0.7530864197530864,0.8413793103448276
