family,feature_set,split,method,method_family,representation,head,seeds,train_accuracy,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_accuracy,test_accuracy_min,test_accuracy_max,test_accuracy_std,test_balanced_accuracy,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,test_macro_f1,test_macro_f1_min,test_macro_f1_max,test_macro_f1_std
domain-adaptation,54D,S2_train_I_internal_val_test_all,mk-mmd,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9666666666666668,0.8333333333333334,1.0,0.07453559924999298,0.841025641025641,0.6959706959706959,0.9084249084249084,0.08467007413918888,0.8345164609053498,0.6667952674897119,0.9093364197530864,0.09692503350756372,0.8280097605497312,0.6217943592334657,0.9099746481690194,0.11758305004402744
domain-adaptation,54D,S2_train_I_internal_val_test_all,cdan,opensource-core,bottleneck16,mlp,"0,1,2,3,4",0.9800000000000001,0.9333333333333332,1.0,0.02981423969999722,0.8212454212454213,0.7838827838827839,0.8498168498168498,0.030690637458832836,0.8220679012345679,0.7848508230452674,0.8512088477366255,0.030673870900732734,0.8232511942445647,0.790296308967195,0.8535289807577696,0.03124248680537
classical-ml,54D,S3_train_I_internal_20_10_test_all,logistic-regression,classical-ml,raw,logistic-regression,-1,0.8666666666666667,0.8666666666666667,0.8666666666666667,,0.8461538461538461,0.8461538461538461,0.8461538461538461,,0.8458076131687243,0.8458076131687243,0.8458076131687243,,0.8494322444247425,0.8494322444247425,0.8494322444247425,
classical-ml,54D,S3_train_I_internal_20_10_test_all,mlp,classical-ml,raw,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7575091575091576,0.7289377289377289,0.7985347985347986,0.03583383765976735,0.761522633744856,0.7334104938271605,0.8019547325102879,0.0348187292433302,0.7605783064535241,0.7253392916252897,0.7993324989570295,0.03590435312948741
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.789010989010989,0.7106227106227107,0.8351648351648352,0.04716606183976519,0.792283950617284,0.7173353909465021,0.8386059670781892,0.04560448834637422,0.7825692826446321,0.6863074249824783,0.8328389392900603,0.056207286485532276
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,dann,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8527472527472526,0.7802197802197802,0.9047619047619048,0.0532963886047379,0.8502572016460904,0.7852366255144032,0.9000771604938271,0.051239851753954964,0.8514855297016565,0.7723620295048866,0.9050205134712178,0.05631044873797278
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,deep-coral,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8622710622710622,0.8388278388278388,0.8827838827838828,0.016905466313867138,0.8599279835390945,0.8350051440329218,0.8805298353909464,0.017197541450143784,0.863370939139107,0.8400414372498122,0.8836493143260847,0.01673753067524231
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,mk-mmd,opensource-core,bottleneck16,linear,"0,1,2,3,4",0.9933333333333334,0.9666666666666668,1.0,0.014907119849998545,0.8923076923076924,0.8754578754578755,0.912087912087912,0.01432791737407174,0.8889146090534981,0.871656378600823,0.9083076131687244,0.014313855091838065,0.8932194751330407,0.8783851302011109,0.912283654635154,0.013658039133745149
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,cdan,opensource-core,bottleneck16,linear,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.8644688644688646,0.8351648351648352,0.8937728937728938,0.027533509850499818,0.862011316872428,0.8347479423868314,0.8909465020576132,0.027039374309798993,0.8677456222122247,0.8408652336585893,0.895734989648033,0.025845350127516698
domain-adaptation,54D,S3_train_I_internal_20_10_test_all,source-only,opensource-core,bottleneck16,mlp,"0,1,2,3,4",1.0,1.0,1.0,0.0,0.7912087912087912,0.7655677655677655,0.8131868131868132,0.01794497980060939,0.7935956790123457,0.7700617283950617,0.8184156378600823,0.01842899600583627,0.7897814083733703,0.7556081198617445,0.8089337660166703,0.02138970061541704
